Category,Weights,Date,cpi_value,Year,Month
Alcoholic beverages and tobacco,680.8440217778525,2009-02-01,87.38047412181864,2009,2
Alcoholic beverages and tobacco,680.8440217778525,2009-03-01,88.72895700665104,2009,3
Alcoholic beverages and tobacco,680.8440217778525,2009-04-01,88.52409462504473,2009,4
Alcoholic beverages and tobacco,680.8440217778525,2009-05-01,84.98154054004199,2009,5
Alcoholic beverages and tobacco,680.8440217778525,2009-06-01,84.71906763898693,2009,6
Alcoholic beverages and tobacco,680.8440217778525,2009-07-01,84.17320514749044,2009,7
Alcoholic beverages and tobacco,680.8440217778525,2009-08-01,85.49255565015781,2009,8
Alcoholic beverages and tobacco,680.8440217778525,2009-09-01,84.08664385751356,2009,9
Alcoholic beverages and tobacco,680.8440217778525,2009-10-01,85.91794097158383,2009,10
Alcoholic beverages and tobacco,680.8440217778525,2009-11-01,85.15643493985534,2009,11
Alcoholic beverages and tobacco,680.8440217778525,2009-12-01,86.03779263634232,2009,12
Alcoholic beverages and tobacco,680.8440217778525,2010-01-01,88.57511041802363,2010,1
Alcoholic beverages and tobacco,680.8440217778525,2010-02-01,88.03999116701729,2010,2
Alcoholic beverages and tobacco,680.8440217778525,2010-03-01,91.70978098086242,2010,3
Alcoholic beverages and tobacco,680.8440217778525,2010-04-01,92.20567107617181,2010,4
Alcoholic beverages and tobacco,680.8440217778525,2010-05-01,92.0686377042144,2010,5
Alcoholic beverages and tobacco,680.8440217778525,2010-06-01,89.55299920836333,2010,6
Alcoholic beverages and tobacco,680.8440217778525,2010-07-01,88.80675732463801,2010,7
Alcoholic beverages and tobacco,680.8440217778525,2010-08-01,90.45772385638459,2010,8
Alcoholic beverages and tobacco,680.8440217778525,2010-09-01,88.11340059415598,2010,9
Alcoholic beverages and tobacco,680.8440217778525,2010-10-01,89.66055326608135,2010,10
Alcoholic beverages and tobacco,680.8440217778525,2010-11-01,89.82493831920229,2010,11
Alcoholic beverages and tobacco,680.8440217778525,2010-12-01,89.03280962135302,2010,12
Alcoholic beverages and tobacco,680.8440217778525,2011-01-01,89.79647904539829,2011,1
Alcoholic beverages and tobacco,680.8440217778525,2011-02-01,91.59563850391635,2011,2
Alcoholic beverages and tobacco,680.8440217778525,2011-03-01,87.96138856414198,2011,3
Alcoholic beverages and tobacco,680.8440217778525,2011-04-01,93.10139142030623,2011,4
Alcoholic beverages and tobacco,680.8440217778525,2011-05-01,91.78230185375784,2011,5
Alcoholic beverages and tobacco,680.8440217778525,2011-06-01,88.12957959224377,2011,6
Alcoholic beverages and tobacco,680.8440217778525,2011-07-01,90.54913270438227,2011,7
